,temporal_1,temporal_2,temporal_3,temporal_4,temporal_5,temporal_6,temporal_7,temporal_8,temporal_9,temporal_10,message_transfer_time,thread_run_time,processor_utilization,input_waiting,label
19,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.44016568266347,0.04112299965128852,0.5490076836798171,1.434351403531973,1
20,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.2489542835421537,5.715910412338831,0.16120490427020284,0.5010958945753359,0
21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.6777506602095,5.201727930021924,0.7901083527645962,0.7248428085388762,1
22,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.3561123057094562,0.817899405302619,0.9819735252211879,2.6821480398508486,1
23,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8800760588895551,8.623564895026867,0.10749205818689556,2.2146194620790887,1
24,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0049579190781166,2.8171116761250015,0.8414126108723473,2.948597515669609,1
25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.1157414622614734,3.7635007945304864,0.48978955207771824,0.1623902287331691,1
26,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5405637585227502,4.751534144294091,0.05141086529764349,0.9497163135609404,1
27,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1449743499081324,8.169348304723988,0.5213075950418605,2.877863071591595,1
28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.8017527882593265,5.949380307729589,0.48192291922342223,1.3181364327200136,1
29,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.5942958925440385,5.639572035274568,0.8914130029311119,1.813012338998519,1
30,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.466246771510297,3.6237757592558917,0.3403917872037828,1.7092243177897148,1
31,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9633517597519456,2.7968467179171963,0.7574921665765723,0.4220682096064372,1
32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.4812412813465476,4.781202319371777,0.132306010044691,2.1933128955847327,1
33,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.06642789300731,2.5573353203158575,0.3885032525578892,0.17493779543072352,1
34,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.430810483788226,3.395114382042821,0.5393588364275438,1.613888674475721,1
35,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0424916024398527,4.403763349468267,0.1815223052946714,1.6579133526543968,1
36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.84274027928309,8.435008643936305,0.1977700297842594,0.6055453512073687,0
37,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.1831237410417055,9.305106167465388,0.2453408817155971,2.251272676605388,1
38,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6187166420735812,8.29741369555985,0.7427964466219795,2.68853044875076,1
39,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.825736693015674,5.256997148931065,0.9434909059114109,2.937203998672553,1
40,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.48874356596775803,7.115572532942754,0.12715529485579868,0.0804508084188933,1
41,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.7353840115324592,3.3520860921068674,0.5479399401778472,0.9291747204447232,1
42,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7945944550932077,4.5919692255428215,0.14710377487999615,2.7744714402795383,1
43,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5950677360416651,9.404896563472047,0.054255836314527905,0.15151622109056373,1
44,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5655002800691833,3.549474799949155,0.03945707234553031,0.8160755807518858,1
45,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.555126564154534,1.7298567725737901,0.4289064831495769,1.6001656630014272,0
46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.9904365872622107,4.72094057017978,0.42532275929302943,2.220591418123729,0
47,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.2507936110106948,6.525916187915881,0.6641924370487134,0.6841692616724726,1
48,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.35724438996045715,1.2651425980849584,0.3899317599690394,0.9010325634409184,1
49,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.6809070925605125,1.221014186726106,0.22971641962284906,0.5836152876866839,1
50,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.724014854384043,3.0369489093940008,0.09630330550022281,1.3291861629860848,1
51,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.8920146720225035,9.076491013983336,0.5711577598292013,1.5130381489990796,1
52,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.4805482830090364,6.746038509929627,0.21733853020286964,2.697680912102088,1
53,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.632244424286699,2.2193415638011005,0.37715051619115414,2.312263141313579,0
54,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9786329941007104,6.034875606219186,0.017530338462825257,2.1460351518118848,1
55,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.511613723101803,6.602398338119119,0.24904205880259833,1.7180092744719004,0
56,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.423071781715061,5.230546799078449,0.6510028102936444,0.9857406077056827,1
57,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.8070810403785176,7.593824605373287,0.12313781425888948,0.2102308209249607,1
58,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.228698170790647,0.24738988659156913,0.6613553841992168,0.7764228150215481,1
59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.9123678680118843,1.9111722710395351,0.8604208332925896,0.5840617770724725,1
60,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.8905520538991114,9.663717444251192,0.8693689269415396,0.6836918363390114,1
61,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.539915536711668,4.977400017568321,0.15739584912275373,0.6803246435390398,1
62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.657531330587833,0.7651479839352915,0.4673326524192285,1.2916400446378336,0
63,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.585697857768926,3.0817969021799474,0.8945636570261328,1.1421446390037553,1
64,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.958573287867857,0.017723861734066926,0.7299262003115329,1.0111402879346996,1
65,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.708211457813088,5.7941424188561435,0.8663863784803301,2.643712714465236,1
66,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.7262106936736873,9.994782500995681,0.38689301232674456,0.6082122437254944,1
67,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.325626185606024,5.900994975210713,0.499012664343811,0.4909610165811982,1
68,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.533409310849042,6.100729288144448,0.8951140528845675,0.2280086839098211,1
69,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.5757938459066065,3.277266127280789,0.4290137108455464,2.7745804664277247,0
70,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.477554169038884,2.370325456028098,0.6701677039030665,0.5830389136244671,1
71,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.436012310638578,5.081565720401193,0.4245907720084303,1.7168039551591225,1
72,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6788299779444568,8.997861669773904,0.7080064803052764,1.12115345801014,1
73,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.7960909138762013,0.09751104114700926,0.6132248157403604,1.6658992522020455,1
74,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.273249156893769,5.696508422418475,0.4416034931874343,1.9276990161611374,0
75,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0911604318403905,4.285110712703185,0.5490219980298972,2.5202310893305446,1
76,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.378864544735308,6.211793059939906,0.5981488937377232,1.5217890988667198,1
77,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.4460425607743126,8.39958026208015,0.8790582026047918,0.9817221346181575,1
78,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.044170616580268,4.490439126266183,0.6768711887458937,0.5432397711205643,1
79,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6033247269211922,2.1768278162070565,0.7137544731778374,1.820451064316463,1
80,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8554435884605849,3.766069869311608,0.9699265919173937,0.3960131650437978,1
81,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.999783063788625,1.5055137165084354,0.06766175696875143,2.567421456919887,0
82,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.4110787631475996,0.848992142108389,0.18761356341794,0.08336846393983355,0
83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.7402620328835523,3.7587634940316352,0.3181222930830262,2.5358995269857147,1
84,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.975539725791561,6.256985496114686,0.9460673436570871,0.6577398656014971,1
85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.984412273357208,2.628353360875504,0.2285550257603659,1.4635735321079026,0
86,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9543714042537715,9.156841594691944,0.5650945727783936,2.1915621086182346,1
87,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.9569651937888803,6.889512994530017,0.11776113047139714,2.352500516685871,1
88,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.7108104129358037,6.863134531018993,0.2706672037455027,1.205339367877881,1
89,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.6561634249263557,6.917106852566379,0.27610971471285073,1.4983642765971037,0
90,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.538298637688885,0.016844982284425214,0.7084662629270237,0.08871797438490903,1
91,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.991650213990207,8.130067534159009,0.10882908193670515,1.0320781776388435,0
92,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5593602591823293,9.176086279433802,0.7569844940686347,0.7847365435621668,1
93,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.010626974082638685,0.19397983736088364,0.3035461858281844,1.1702072223309985,1
94,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.738922323055614,5.982939903852376,0.7334704221276805,0.9026801109588918,1
95,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8438845914940343,6.7657577012747865,0.3665611154142516,0.47921941095030196,0
96,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.454370639808284,1.9624258094934133,0.42640105872088374,2.8251909551935013,0
97,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.7676251741319886,8.382112629992909,0.125830759903792,1.2878365030554657,0
98,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.467532758879181,6.258314142890883,0.10684190956922368,1.9134081361299553,1
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7826726252029224,2.2505507332950425,0.5418418404493104,2.780283408591342,1
100,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.851879431512492,9.671901167175532,0.6370701534375911,1.7174214445507,1
101,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.9006496433302722,2.1586562467402013,0.09213067032783129,0.38099749514976544,1
102,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.110961347452081,6.785878069331916,0.13943224378839747,2.3657440705727053,0
103,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.467030132578272,4.738897788599234,0.0324427510234675,2.323992215921889,1
104,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7919573605069447,7.2328482255913915,0.1624086978618533,1.2138292214949291,1
105,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.04453079945978766,0.9775912392053465,0.22257752087383142,1.618180874104545,1
106,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.2837830559934953,9.525452555333542,0.6907030954530314,1.2746580140082333,1
107,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.987359717232944,2.0448903080791148,0.06521464721662573,0.6727333616094852,0
108,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.834128212450804,2.2038393923675272,0.6874065091367177,2.2887651324230376,1
109,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.73080431767716,5.5402853549223385,0.4054284736618601,2.2333050788989777,1
110,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.7393704993083965,3.4973326342087097,0.14295372332381318,1.9411676757421787,0
111,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3289069129432474,4.421296856512196,0.9823291732815804,1.3669214716615714,1
112,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.8294265234966796,0.37098496526235536,0.5042690220829461,1.3944180980359806,1
113,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.2877519295750517,2.348844452006275,0.29418427752976095,0.8953315452828612,0
114,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.103416799807932,7.7353311674188685,0.05550517143877076,0.7971737716567086,1
115,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.339992380112087,9.022151540254663,0.314321644093269,2.5469141904660355,0
116,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.259745051847577,2.334774429383618,0.612456231292083,2.578122667241396,1
117,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.3854133454685518,7.733489997148366,0.24577291188754258,0.046034633847119144,1
118,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.27800232384629475,0.2894669307941611,0.5692414509599115,2.158819040594558,1
119,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.5396812633768298,0.4472428005702034,0.27827812639555205,0.9897663410973941,1
120,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.23129238783309358,3.9300921838654257,0.044454427415527076,2.7580420310913514,1
121,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.150135353760187,1.479111457346507,0.4131662619022365,0.726360459519196,1
122,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.1289995594524016,1.661385686436888,0.35662028771018583,1.0062094171494274,1
123,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.5182380414599477,6.273970248168016,0.2458901595699735,2.242008283490914,0
124,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.1008926327825053,8.581642688718121,0.528971831559372,0.22229808020629516,1
125,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.4071591778316902,7.789672417730515,0.3896228243222045,2.1241171404466797,1
126,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.1939863919998635,3.364938083574237,0.9499454677980209,2.024036471030012,1
127,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3001643014713251,8.752159670234088,0.6212291234152575,0.9120649376687687,1
128,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.7547922967474605,8.413459203660864,0.35815414292870407,2.138307956471917,0
129,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.647126629908167,5.242116968238286,0.21433669344558237,2.708774112710629,0
130,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5356455934068732,4.758760626650278,0.6651238586443668,2.4118236622667983,1
131,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7983396493454693,0.5846241865712687,0.9201287191483511,1.5535270279384161,1
132,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.258633551266839,1.5052506965642853,0.6271131107238481,0.3973365062014297,1
133,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.9935502935811176,0.8541319952824689,0.8293922426438064,2.6770177004463807,1
134,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.117400030523437,5.26772502073614,0.6842286710979711,1.4691542382855327,1
135,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3913671828557628,6.766384962322588,0.9471815045084812,1.2236325877528533,1
136,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.007345030711851108,6.187820104468493,0.4072089061079942,1.6432595357081576,1
137,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.4143386442075787,8.72885243630802,0.7727252481591473,0.6406428770626797,1
138,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.470544411967332,6.587024039381469,0.5091859687217706,1.0085734734018033,1
139,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.526815851613336,8.297076910155713,0.049491467155628355,2.2065166291319347,0
140,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6264849152674717,1.4042518457369368,0.01326224025357714,1.6904231462011952,1
141,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.303384836793445,1.7164807461221854,0.42512346502480713,2.2868365656114618,1
142,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.17215642898407102,9.184122777180633,0.6599743904892813,2.285893806125928,1
143,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.461746376701061,3.547046819793165,0.8632725373864257,2.2607381954728707,1
144,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.831104061822502,2.169987667457441,0.03262315972596708,0.432565855957465,0
145,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.9348370359577738,9.120692352914247,0.9418441013255289,1.9506043534463249,1
146,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.35391948326360445,9.70104524388832,0.8847605119887776,1.440539775205075,1
147,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.352276771767607,6.377696458650873,0.8736172045979286,0.1862728569744616,1
148,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.23068509867379405,3.883386011114008,0.6426697809614524,2.5051613475355317,1
149,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.08185077449679778,6.883857553986217,0.46665806233093166,0.6591455239567293,1
150,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.808751147179323,0.15557876902810186,0.8039939440351594,0.0388208317888773,1
151,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0560310989754833,1.4471228678176329,0.2061741992148175,1.930310659370885,1
152,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.1095629489413317,3.687144441173573,0.2922915739382088,0.5163159367031992,1
153,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6734963192184071,8.322245014132777,0.17269329994553684,0.18512001849272042,1
154,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6623851644230139,3.0431590637157546,0.9979818120946059,2.801312810189245,1
155,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.9220092911416895,0.5787189174887575,0.19218128376428567,0.4454357963722163,0
156,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.2497070774104868,3.787352733338839,0.7007509186242198,1.560147994917732,1
157,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.30988573037098344,2.412541524818187,0.46207226970690385,1.101897874526015,1
158,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.3941831010016466,0.5605993807075327,0.03329528492747569,0.13422179349701058,1
159,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.258500279501058,3.9892425754725225,0.0812635366383847,0.9430613062855449,1
160,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.4982315210879,3.5142139194010156,0.9294283644569747,1.0514111599664742,1
161,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.7783711560037312,7.338399809392106,0.7445426875848299,1.4803130609358564,1
162,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.025825903897845,0.6320482121691595,0.5460097849066335,2.1202037235018096,1
163,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2989221797390096,3.7905444622391107,0.20946480252876398,2.999933855342168,1
164,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.7726633503287874,3.4243352281464667,0.00635613945084601,1.5557138101459453,1
165,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.518727714826156,6.468215249343464,0.7726499172117556,2.8282593510294576,1
166,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.9109832304502,8.879207710432816,0.3122986170758142,1.5823529202444178,1
167,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.7198586615707658,1.4298979012766122,0.21404057967009382,1.7810469527483552,1
168,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.39517472404398,8.162537513998236,0.17231152712162923,0.41720108744715434,1
169,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.400217163019546,6.097234027512663,0.8087963847814335,1.7124773921915186,1
170,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.905891042842296,0.2924269401397628,0.6206329061880054,0.7816860528969807,1
171,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.3607293564566665,7.668886791662436,0.6413007780609618,0.8221452803766299,1
172,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.6888692875833478,5.376880330339259,0.9254372594876188,1.3016329684968087,1
173,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.13169279570428682,7.999288245801247,0.8917990435794444,1.9612148036822419,1
174,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.6357521882366175,4.088680328694464,0.680461234857334,1.851989158858932,1
